basis,בָּסִיס
glove/gloves,כְּפָפָה/כְּפָפוֹת
money,כֶּסֶף
umbrella,מִטְרִיָּה
watch/clock,שָׁעוֹן
computer,מַחְשֵׁב
usually,בְּדֶרֶךְ כְּלָל
day[s/du/pl],יוֹם/יוֹמַיִם/יָמִים
week[s/du/pl],שָׁבוּעַ/שְׁבוּעַיִם/שָׁבוּעוֹת
month[s/du/pl],חֹדֶשׁ/חָדְשַׁיִם/חֳדָשִׁים
year[s/du/pl],שָׁנָה/שְׁנָתַיִם/שָׁנִים
food,אֹכֶל
chicken,עוֹף
cake,עוּגָה
salad,סָלָט
soup,מָרָק
beef,בָּקָר
shrimp,שְׁרִימְפְּס
sesame,סוּמְסוּם
fish,דָּג
egg/eggs,בֵּיצָה/בֵּיצִים
shrimp,חֲסִילוֹן
gefilte fish,גֶּפִילְטֶע פִישׁ
cheese,גְּבִינָה
bread,לֶחֶם
meat,בָּשָׂר
milk product,מוּצְרֵי חָלָב
grains,דָּגָןנט
fruit/fruits,פְּרִי/פֵּרוֹת
vegetables,יְרָקוֹת
