(he) likes,אוֹהֵב
to be,לִהְיוֹת
to live,לִחְיוֹת
people (m),אֲנָשִׁים
to climb,לְטַפֵּס
(he) climbs,מְטַפֵּס
mountain,הַר
to parachute,לִצְנֹחַ
(he) parachutes,צוֹנֵחַ
height/level,גֹּבַהּ
to ride,לִרְכֹּב
(he) rides,רוֹכֵב
distance,מֶרְחָק
near,קָרוֹב
far,רָחוֹק
beloved (m/f),אָהוּב/אֲהוּבָה
habit,הֶרְגֵּל
regular/usual,רָגִיל
to hunt,לָצוּד
(he) hunts,צָד
leopard,נָמֵר
to dredge up,לִדְלוֹת
(he) dredges up,דּוֹלֶה
pearl,פְּנִינָה
hunter-gatherer,צַיָּד-לַקָּט/צַיָּדִים-לְקָטִים
information,מֵידָע
to build,לִבְנוֹת
(he) builds,בּוֹנֶה
tower,מִגְדָּל
light,אוֹר
lighthouse,מִגְדַּלּוֹר
to fast,לָצוּם
(he) fasts,צָם
always,תָּמִיד
to search,לְחַפֵּשׂ
(he) searches,מְחַפֵּשׂ
to discover,לְגַלּוֹת
(he) discovers,מְגַלֶּה
to walk,לָלֶכֶת
(he) walks,הוֹלֵךְ
to give up,לְוַתֵּר
(he) gives up,מְוַתֵּר
