healthy,בָּרִיא
sick,חוֹלֶה
runny nose,נַזֶּלֶת
cough,שִׁעוּל
to cough,לְהִשְׁתַּעֵל
I cough,אני מִשְׁתַּעֵל/ת
poop (children's speech),קָקִי
feces,צוֹאָה
hospital,בֵּית חוֹלִים
clinic,מִרְפָּאָה
doctor(physician),רוֹפֵא
nurse(M/F),אָח/אָחוֹת
treatment,טִפּוּל
medicine,תְּרוּפָה
surgery,נִתּוּחַ
to heal,לְרַפֵּא
sick fund,קֻפַּת חוֹלִים
cash register,קֻפָּה
citizen,אֶזְרָח
insurance,בִּטּוּחַ
check/test,בְּדִיקָה
to check,לִבְדּוֹק
in order to,כְּדֵי
to phone,לְהִתְקַשֵּׁר
to determine/appoint,לִקְבֹּעַ
